first,last,gender,sport,event,experience,height,weight,dob,birth_city,birth_state,hometown_city,hometown_state,current_residence,current_state,school,n_games,age
Kelly,Griffin,F,Rugby,Prop,none,"5'4""",150,1986-11-07,Berkeley,CA,Berkeley,CA,Chula Vista,CA,"University of California – Los Angeles ‘08, Applied Mathematics",0.0,30.0
Leonard,Korir,M,Track and Field,"10,000m",none,"5'7""",130,1986-12-10,Iten,Kenya,Colorado Springs,CO,Colorado Springs,CO,Iona College,0.0,30.0
Chris,Brooks,M,Gymnastics,Artistic – Team,none,"5'8""",165,1986-12-19,Houston,TX,Houston,TX,Colorado Springs,CO,"University of Oklahoma, Business Management",0.0,30.0
Robby,Smith,M,Wrestling,Greco-Roman 130 kg.,none,"6'0""",280,1987-01-30,Colorado Springs,CO,San Ramon,CA,Colorado Springs,CO,Northern Michigan,0.0,29.0
Seth,Weil,M,Rowing,Men's Four,none,"6'6""",215,1987-03-09,Menlo Park,CA,Menlo Park,CA,Menlo Park,CA,"University of California '11, Davis",0.0,29.0
Max,Holt,M,Indoor Volleyball,Middle Blocker,none,"6'10""",198,1987-03-12,Cincinnati,OH,Cincinnati,OH,Orange County,CA,Penn State - Journalism (2009 grad),0.0,29.0
Heather,Miller-Koch,F,Track and Field,Heptathlon,none,"5'9""",140,1987-03-30,Madison,WI,Columbus,WI,Mendota Heights,MN,"St. Cloud State University '10, Nursing",0.0,29.0
Matt,Anderson,M,Indoor Volleyball,Outside Hitter,2012,"6'9""",190,1987-04-18,Buffalo,NY,West Seneca,NY,Stuart,FL,Penn State - Kinesiology,1.0,29.0
Paige,Railey,F,Sailing,Laser Radial (One-Person Dinghy),2012,"5'8""",147,1987-05-15,Clearwater,FL,Clearwater,FL,Clearwater,FL,University of South Florida - Business Management (2010),1.0,29.0
Michelle,Kasold,F,Field Hockey,Striker,2012,"5'3""",118,1987-05-26,San Jose,CA,Chapel Hill,NC,Raleigh,NC,Wake Forest University - Sociology (2009 grad),1.0,29.0
Lauren,Kieffer ,F,Equestrian,Eventing,none,"5'10""",150,1987-06-06,Mount Carmel,IL,Middleburg,VA,The Plains,VA,"Mount Carmel High School (Mount Carmel, Ill.) '05",0.0,29.0
Chloe,Woodruff,F,Cycling,Mountain - Women's,none,"5'2""",113,1987-07-21,Denver,CO,Boulder,CO,Prescott,AZ,"University of Arizona '10, Communications",0.0,29.0
Kami,Craig,F,Water Polo,Center,2008-S; 2012-G,"5'11""",195,1987-07-21,San Luis Obispo,CA,Santa Barbara,CA,Santa Ynez,CA,USC 2011,2.0,29.0
Laura,Graves,F,Equestrian,Dressage,none,"5'8""",120,1987-07-22,Burlington,VT,Orlando,FL,Geneva,FL,"Harwood Union High School (Duxbury, Vt.) '04",0.0,29.0
Allie,Long,F,Soccer,Midfield,none,"5'8""",140,1987-08-13,Huntington,NY,Northport,NY,East Northport,NY,"University of North Carolina '08, Exercise/Sport Science",0.0,29.0
Katelin,Snyder,F,Rowing,Women's Eight,none,"5'4""",110,1987-08-16,Nashua,NH,Orlando,FL,Orlando,FL,University of Washington,0.0,29.0
Brenda,Martinez,F,Track and Field,1500m,none,"5'7""",124,1987-09-08,Upland,CA,Big Bear Lake,CA,Rancho Cucamonga,CA,California - Riverside '10,0.0,29.0
Logan,Dooley,M,Gymnastics,Trampoline,none,"5'9""",130,1987-09-26,Mission Viejo,CA,Lake Forest,CA,Lake Forest,CA,"Saddleback College '11, Child Development",0.0,29.0
Henrik,Rummel,M,Rowing,Men's Four,2012-B,"6'5""",215,1987-09-26,Copenhagen,Denmark,Pittsford,NY,Princeton,NJ,"Harvard University '09, Applied Mathematics, Economics",1.0,29.0
Jason,Pryor,M,Fencing,Epee,none,"5'9""",175,1987-09-26,Cleveland,OH,South Euclid,OH,South Euclid,OH,"The Ohio State University '09, English",0.0,29.0
Foluke,Akinradewo,F,Indoor Volleyball,Middle Blocker,2012-S,6-3,170,1987-10-05,London,Ontario,Ft. Lauderdale,FL,Plantation,FL,Stanford University,1.0,29.0
Kasey,Perry-Glass,F,Equestrian,Dressage,none,"5'4""",130,1987-10-12,Sacramento,CA,Orangevale,CA,Wellington,FL,"California State University - Sacramento '11, Business Entrepreneurship",0.0,29.0
Andrew,Durutalo,M,Rugby,Prop,none,6'2,236,1987-10-25,New York,NY,San Diego,CA,Chula Vista,CA,"Binghamton University '11, Business Administration",0.0,29.0
Thomas,Barrows III,M,Sailing,49er (Two-Person High Performance Skiff),2008 - U.S. Virgin Islands,"6'1""",181,1987-11-02,"St. Thomas, Virgin Islands",Virgin Islands,"St. Thomas, Virgin Islands",Virgin Islands,"St. Thomas, Virgin Islands",Virgin Islands,Yale University,1.0,29.0
Kawika,Shoji,M,Indoor Volleyball,Setter,none,"6'3""",194,1987-11-11,Honolulu,HI,Honolulu,HI,Honolulu,HI,Stanford - Political Science (2010 grad),0.0,29.0
Dana,Vollmer,F,Swimming,"100m Fly, 4x100m Free","2012-3G, 2004-G","6'1""",150,1987-11-13,Syracuse,NY,Danville,CA,Danville,CA,"University of California - Berkeley '10, Anthropology",1.0,29.0
Whitney,Engen,F,Soccer,Defenseman,none,"5'7""",143,1987-11-28,Torrance,CA,Rolling Hills Estates,CA,Rancho Palos Verdes,CA,"University of North Carolina '09, Political Science",0.0,29.0
Adrienne,Martelli,F,Rowing,Women’s Quadruple Sculls,2012-B,"6'1""",170,1987-12-03,Glendale,CA,University Place,WA,University Place,WA,"University of Washington '10, Biology, Physiology",1.0,29.0
Eleanor,Logan,F,Rowing,Women's Eight,2008-G; 2012-G,"6'2""",190,1987-12-27,Portland,ME,Boothbay Harbor,ME,Bellingham,WA,Stanford University '11,2.0,29.0
Ashton,Eaton,M,Track and Field,Decathlon,2012-G,"6'1""",180,1988-01-21,Portland,OR,Bend,OR,Vancouver,WA,"University of Oregon '10, Psychology",1.0,28.0
Devery,Karz,F,Rowing,Lightweight Women's Double Sculls,none,"5'8""",130,1988-02-18,Park City,UT,Park City,UT,Park City,UT,Oregon State University,0.0,28.0
Grace,Latz,F,Rowing,Women’s Quadruple Sculls,none,"6'0""",175,1988-02-21,Ann Arbor,MI,Jackson,MI,Kingston,NJ,"University of Wisconsin '11, International Studies, Global Commons and Environmental Studies",0.0,28.0
Stephen,Lambdin,M,Taekwondo,+80 kg.,None,"6'2""",240,1988-03-09,Rockwall,TX,Colleyville,TX,Edmond,OK,California Lutheran University - Criminal Justice (2011),0.0,28.0
Frank,Thompson,M,Shooting,Skeet,2012-8th,"5'11""",174,1988-03-11,Alliance,NE,Alliance,NE,Alliance,NE,"University of Colorado – Colorado Springs ’11, Business Administration",1.0,28.0
Kelley,Hurley,F,Fencing,Epee,2008; 2012-B,"5'9""",165,1988-04-04,San Antonio,TX,San Antonio,TX,San Antonio,TX,"University of Notre Dame '10, Design",2.0,28.0
Alisha,Glass,F,Indoor Volleyball,Setter,none,"6'0""",158,1988-04-05,Traverse City,MI,Leland,MI,Lake Leelanau,MI,"Penn State - Kinesiology, Human Devlopment and Family Studies minor",0.0,28.0
Alyssa,Naeher,F,Soccer,Goalkeeper,none,"5'9""",152,1988-04-20,Bridgeport,CT,Seymour,CT,Seymour,CT,"Penn State University '09, Kinesiology",0.0,28.0
Jackie,Briggs,F,Field Hockey,Goalkeeper,none,"5'6""",135,1988-05-23,Reading,PA,Robesonia,PA,Lancaster,PA,University of North Carolina - Studio Art (2010 grad),0.0,28.0
Tobin,Heath,F,Soccer,Midfield,2008-G; 2012-G,"5'6""",130,1988-05-29,Morrison,NJ,Basking Ridge,NJ,Palm City,FL,"University of North Carolina '10, Communications",2.0,28.0
Emily,Regan,F,Rowing,Women's Eight,none,"6'2""",178,1988-06-10,Buffalo,NY,Buffalo,NY,Princeton,NJ,Michigan State University '10,0.0,28.0
Dagmara,Wozniak,F,Fencing,Saber,2012,"5'8""",180,1988-07-01,Wroclaw,Poland,Avenel,NJ,Avenel,NJ,"St. John's University '13, Biology",1.0,28.0
Ronnie,Ash,M,Track and Field,110m Hurdles,none,"6'2""",208,1988-07-02,Passaic,NJ,Passaic,NJ,Tallahassee,FL,University of Oklahoma,0.0,28.0
Kristi,Castlin,F,Track and Field,100m Hurdles,none,"5'7""",133,1988-07-07,Atlanta,GA,Atlanta,GA,Alpharetta,GA,"Virginia Tech, Political Science",0.0,28.0
Jordan,Burroughs,M,Wrestling,Freestyle 74 kg.,2012-G,"5'7""",175,1988-07-08,Camden,NJ,Sicklerville,NJ,Lincoln,NE,Nebraska,1.0,28.0
DeAndre,Jordan,M,Basketball,Center,none,"6'11""",265,1988-07-21,Houston,TX,Houston,TX,Los Angeles,CA,Texas A&M University,0.0,28.0
Meghan,Klingenberg,F,Soccer,Defenseman,none,"5'2""",122,1988-08-02,Pittsburgh,PA,Pittsburgh,PA,Gibsonia,PA,"University of North Carolina '11, Business",0.0,28.0
Lauren,Schmetterling,F,Rowing,Women's Eight,none,"5'11""",170,1988-08-03,Moorestown,NJ,Moorestown,NJ,Moorestown,NJ,Colgate University '10,0.0,28.0
Kelley,O'Hara,F,Soccer,Defenseman,2012-G,"5'5""",127,1988-08-04,Jacksonville,FL,Fayetteville,GA,Fayetteville,GA,"Stanford University '09, Science, Techonology and Society",1.0,28.0
Jake,Kaminski,M,Archery,"Individual, Team",2012-S,"5'10""",155,1988-08-11,Buffalo,NY,Gainesville,FL,Bronson,FL,"Iroquois High School (Elma, N.Y.) '06",1.0,28.0
Jared,Ward,M,Track and Field,Marathon,None,"5'10""",145,1988-09-09,Layton,UT,Kaysville,UT,Provo,UT,"Brigham Young University '15, Statistical Science",0.0,28.0
Kevin,Durant,M,Basketball,Guard,2012-G,"6'9""",230,1988-09-29,"Washington, D.C.",DC,"Washington, D.C.",DC,Oakland,CA,University of Texas,1.0,28.0
Francena,McCorory,F,Track and Field,4x400m,2012-G,"5'7""",151,1988-10-20,Los Angeles,CA,Hampton,VA,Hampton,VA,Hampton University '10,1.0,28.0
Nia,Ali,F,Track and Field,100m Hurdles,none,"5'7""",143,1988-10-23,Philadelphia,PA,Philadelphia,PA,Los Angeles,CA,Tennessee '07; USC '11,0.0,28.0
Katelyn,Falgowski,F,Field Hockey,Midfielder,2008; 2012,"5'6""",138,1988-10-23,Wilmington,DE,Landenberg,PA,Mount Joy,PA,University of North Carolina - Communications (2011 grad),2.0,28.0
Kate,Grace,F,Track and Field,800m,none,"5'8""",122,1988-10-24,Los Angeles,CA,Sacramento,CA,Sacramento,CA,"Yale University '11, Bachelor of Arts",0.0,28.0
Brady,Ellison,M,Archery,"Individual, Team","2008, 2012-S","5'11""",190,1988-10-27,Globe,AZ,Globe,AZ,Miami,AZ,"Mountain Ridge High School (Glendale, Ariz) '07",1.0,28.0
Tina,Charles,F,Basketball,Center,2012-G,"6'3""",195,1988-12-05,Flushing,NY,Queens,NY,Forest Hills,NY,University of Connecticut '10,1.0,28.0
Katie,Bam,F,Field Hockey,Striker,2012,"5'1""",120,1988-12-06,Montgomery,PA,Blue Bell,PA,Bluebell,PA,University of Maryland - Family Sciences (2013 grad),1.0,28.0
Nathan,Adrian,M,Swimming,"50m Free, 100m Free, 4x100 Free","2008-G; 2012-2G, S","6'6""",220,1988-12-07,Bremerton,WA,Bremerton,WA,Berkeley,CA,UC Berkeley - Public Health (2012 grad),2.0,28.0
Robin,Prendes,M,Rowing,Lightweight Men's Four,2012,"6'1""",160,1988-12-13,Matanzas,Cuba,Miami,FL,Miami,FL,Princeton University '11,1.0,28.0
Nate,Ebner,M,Rugby,Forward,none,"6'1""",215,1988-12-14,Columbus,OH,Columbus,OH,Marble Cliff,OH,"Ohio State University '12, Nutrition/Exercise Science",0.0,28.0
Ben,Blankenship,M,Track and Field,"1,500m",none,"5'10""",140,1988-12-15,Minneapolis,MN,Stillwater,MN,Eugene,OR,"University of Minnesota '11, American Studies",0.0,28.0
Frank,Molinaro,M,Wrestling,Freestyle 65 kg.,none,"5'4""",155,1988-12-27,Red Bank,NJ,Barnegat,NJ,State College,PA,Penn State University '12,0.0,28.0
Conor,Dwyer,M,Swimming,"200m Free, 400m Free, 4x200m Free",2012-G,"6'5""",195,1989-01-10,Evanston,IL,Winnetka,IL,Winnetka,IL,"University of Florida ‘12, Sports Management",1.0,27.0
Matt,Miller,M,Rowing,Men's Four,none,"6'5""",217,1989-01-13,Fairfax,VA,Springfield,VA,Dayton,NJ,"University of Virginia '11, Systems and Information Engineering",0.0,27.0
Charlie,Buckingham,M,Sailing,Laser (One-Person Dinghy),none,"6'2""",180,1989-01-16,Newport Beach,CA,Newport Beach,CA,Costa Mesa,CA,"Georgetown University '11, Government",0.0,27.0
Barbara,Nwaba,F,Track and Field,Heptathlon,none,"5'9""",146,1989-01-18,Los Angeles,CA,Los Angeles,CA,Santa Barbara,CA,"University of California - Santa Barbara '12, Sociology",0.0,27.0
Nareg,Guregian,M,Rowing,Men's Pair,none,"6'5""",215,1989-01-20,Los Angeles,CA,North Hills,CA,North Hills,CA,University of California - Media Studies and Mass Communications 2010,0.0,27.0
Kayla,Banwarth,F,Indoor Volleyball,Libero,none,"5'10""",155,1989-01-21,Dubuque,IA,Dubuque,IA,Costa Mesa,CA,University of Nebraska - English (2012 grad),0.0,27.0
Melissa,Gonzalez,F,Field Hockey,Midfielder,2012,"5'3""",128,1989-01-24,Peekskill,NY,Mohegan Lake,NY,Mohegan Lake,NY,University of Connecticut - Kinesiology & Coaching and Administration (2011 grad),1.0,27.0
Nick,Delpopolo,M,Judo,73 kg.,2012,"5'8""",170,1989-02-08,Niksic,Montenegro,Davie,FL,Davie,FL,Schenectady County Community College,1.0,27.0
Whitney,Ashley,F,Track and Field,Discus Throw,none,"5'10""",200,1989-02-18,Riverside,CA,Riverside,CA,Chula Vista,CA,"San Diego State University '12, Journalism",0.0,27.0
Jeff,Henderson,M,Track and Field,Long Jump,none,"6'0""",189,1989-02-19,McAlmont,AR,McAlmont,AR,Chula Vista,CA,"Stillman College '13, Business Administration",0.0,27.0
Shadrack,Kipchirchir,M,Track and Field,"10,000m",none,"5'8""",118,1989-02-22,Eldoret,Kenya,Beaverton,OR,Beaverton,OR,"Oklahoma State University '14, Construction Engineering",0.0,27.0
Evan,Jager,M,Track and Field,"3,000m Steeplechase",2012,"6'2""",145,1989-03-08,Algonquin,IL,Algonquin,IL,Portland,OR,Wisconsin,1.0,27.0
Gil,Roberts,M,Track and Field,400m,none,"6'2""",180,1989-03-15,Oklahoma City,OK,Oklahoma City,OK,Los Angeles,CA,"Texas Tech University '11, Sociology",0.0,27.0
Vincent,Hancock,M,Shooting,Skeet,2008-Gold; 2012-Gold,"5'8""",175,1989-03-19,Port Charlotte,FL,Eatonton,GA,Fort Worth,TX,"Troy University '14, Business Management",2.0,27.0
Miranda,Melville,F,Track and Field,20K Race Walk,none,"5'2""",110,1989-03-20,Rochester,NY,Rochester,NY,San Diego,CA,"University of Wisconsin - Parkside '11, Psychology/Biology",0.0,27.0
Hans,Struzyna,M,Rowing,Men's Eight,none,"6'2""",200,1989-03-31,Seattle,WA,Kirkland,WA,Alameda,CA,"University of Washington '11, Business",0.0,27.0
Kerry,Simmonds,F,Rowing,Women's Eight,none,"6'0""",180,1989-04-03,Palo Alto,CA,San Diego,CA,Princeton,NJ,"University of Washington '11, Biology",0.0,27.0
David,Boudia,M,Diving,"10m Synchro, 10m Individual","2008-5th, 6th; 2012-G,B","5'9""",160,1989-04-24,Abilene,TX,West Lafayette,IN,West Lafayette,IN,"Purdue University '14, Communications",2.0,27.0
Briana,Provancha,F,Sailing,470 (Two-Person Dinghy),none,"5'7""",147,1989-04-25,San Diego,CA,San Diego,CA,Miami,FL,"Boston College '12, Marketing",0.0,27.0
Grace,Luczak,F,Rowing,Women's Pair,none,"6'3""",170,1989-05-24,Royal Oak,MI,Ann Arbor,MI,Princeton,NJ,"Stanford University '11, Human Biology",0.0,27.0
Greg,Billington,M,Triathlon,Men's,none,"5'9""",145,1989-05-30,Spokane,WA,Spokane,WA,Poway,CA,"Wake Forest University '11, Economics and Exercise Science",0.0,27.0
Murphy,Troy,M,Indoor Volleyball,Outside Hitter,none,"6'8""",235,1989-05-31,St. Louis,MO,St. Louis,MO,Newport Beach,CA,USC - Physics,0.0,27.0
Katie,Zaferes,F,Triathlon,Women's,none,"5'8""",130,1989-06-09,Baltimore,MD,Hampstead,MD,Hampstead,MD,"Syracuse University '12, Physical Education",0.0,27.0
Edward,King,M,Rowing,Lightweight Men's Four,none,"6'4""",170,1989-06-14,Kempton Park,South Africa,Ironton,MO,Ironton,MO,"U.S. Naval Academy '11, Oceanography",0.0,27.0
Ashley,Nee,F,Canoe (Slalom),K1,none,"5'4""",120,1989-06-15,"Washington, D.C.",DC,Darnestown,MD,Bethesda,MD,University of Maryland,0.0,27.0
Joe,Kovacs,M,Track and Field,Shot Put,none,"6'0""",295,1989-06-28,Bethlehem,PA,Nazareth,PA,Chula Vista,CA,"Penn State University '11, Energy Business and Finance",0.0,27.0
Gwen,Berry,F,Track and Field,Hammer Throw,none,"5'9""",195,1989-06-29,Centerville,IL,St. Louis,MO,Oxford,MS,"Southern Illinois University '11, Psychology/Criminal Justice",0.0,27.0
Brittany,Borman,F,Track and Field,Javelin Throw,2012,"6'0""",170,1989-07-01,St. Louis,MO,Festus,MO,Fullerton,CA,"University of Oklahoma ('09-'12), UCLA ('08-'09)",1.0,27.0
Alex,Morgan,F,Soccer,Forward,2012-G,"5'8""",137,1989-07-02,San Dimas,CA,Diamond Bar,CA,Altamonte Springs,FL,"University of California - Berkeley '10, Political Economy",1.0,27.0
Felisha,Johnson,F,Track and Field,Shot Put,none,"6'1""",280,1989-07-24,Indianapolis,IN,Indianapolis,IN,Terra Haute,IN,"Indiana State University '13, Recreational Sport Management",0.0,27.0
Carli,Lloyd,F,Indoor Volleyball,Setter,none,"5'11""",165,1989-08-06,Fallbrook,CA,Bonsall,CA,Bonsall,CA,University of California-Berkeley - Social Welfare (2011 grad),0.0,27.0
DeMar,DeRozan,M,Basketball,Guard,none,"6'7""",220,1989-08-07,Bellflower,CA,Compton,CA,Toronto,Canada,University of Southern California,0.0,27.0
Erik,Shoji,M,Indoor Volleyball,Libero,none,"6'0""",160,1989-08-24,Honolulu,HI,Honolulu,HI,Honolulu,HI,Stanford,0.0,27.0
Elena,Delle Donne,F,Basketball,Guard/Forward,none,"6'5""",190,1989-09-05,Wilmington,DE,Wilmington,DE,Wilmington,DE,University of Delaware '13,0.0,27.0
Jimmy,Butler,M,Basketball,Guard,none,"6'7""",220,1989-09-14,Houston,TX,Houston,TX,Chicago,IL,Marquette University,0.0,27.0
Jimmy,Feigen,M,Swimming,4x100m Free,2012-S,"6'5""",216,1989-09-26,Hilo,HI,San Antonio,TX,Charlotte,NC,"University of Texas ‘13, Kinesiology",1.0,27.0
Nic,Long,M,Cycling,BMX - Men's,2012-17th,"6'2""",190,1989-10-06,San Diego,CA,Lakeside,CA,Lakeside,CA,Grossmont-Cuyamaca Community College,1.0,27.0
Zack,Test,M,Rugby,Hooker,none,"6'3""",205,1989-10-13,Redwood City,CA,Redwood City,CA,Redwood City,CA,University of Oregon,0.0,27.0
Felice,Mueller,F,Rowing,Women's Pair,none,"6'1""",160,1989-10-15,White Plaines,NY,Cleveland,OH,Pennington,NJ,"University of Michigan, Art and Design",0.0,27.0
Matthew,Centrowitz,M,Track and Field,"1,500m",2012,"5'9""",145,1989-10-18,Beltsville,MD,Portland,OR,Portland,OR,"University of Oregon '11, Sociology",1.0,27.0
Kelly,Murphy,F,Indoor Volleyball,Opposite,none,"6'2""",170,1989-10-20,Joliet,IL,Wilmington,IL,Wilmington,IL,Florida - Elementary Education,0.0,27.0
Katie,Reinprecht,F,Field Hockey,Midfielder,2012,"5'4""",125,1989-11-01,Philadelphia,PA,Perkasie,PA,Perkasie,PA,Princeton University - Sociology (2013 grad),1.0,27.0
Abby,Johnston,F,Diving,3m Individual,2012-S,"5'5""",135,1989-11-16,Upper Arlington,OH,Upper Arlington,OH,Durham,NC,"Duke University '13, Psychology/Chemistry, Duke University '18, Doctor of Medicine",1.0,27.0
Tracy,Eisser,F,Rowing,Women’s Quadruple Sculls,none,"6'1""",185,1989-11-20,Summit,NJ,Fair Lawn,NJ,Fair Lawn,NJ,Cornell University '12,0.0,27.0
Carlin,Isles,M,Rugby,Wing,none,"5'8""",165,1989-11-21,Akron,OH,Massillon,OH,Chula Vista,CA,"Ashland University '12, Education Early Childhood",0.0,27.0
Hillary,Bor,M,Track and Field,3000m Steeplechase,none,"5'6""",115,1989-11-22,Rift Valley,Kenya,Colorado Springs,CO,Colorado Springs,CO,"Iowa State University '11, Accounting",0.0,27.0
Charles,Jock,M,Track and Field,800m,none,"6'3""",164,1989-11-23,Addis Ababa,Ethiopia,San Diego,CA,Eugene,OR,"University of California - Irvine '12, Urban Studies",0.0,27.0
Ryan,Carlyle,F,Rugby,Hooker,none,"5'6""",145,1989-11-24,Nycack,NY,West Nyack,NY,San Diego,CA,"University of South Carolina '11, Sport Management; DeVry University '14, MBA International Business",0.0,27.0
Kim,Hill,F,Indoor Volleyball,Outside Hitter,none,"6'4""",159,1989-11-30,Portland,OR,Portland,OR,Vancouver,WA,Pepperdine University,0.0,27.0
Miles,Chamley-Watson,M,Fencing,Foil,2012,"6'4""",175,1989-12-03,New York,NY,New York,NY,New York,NY,"Penn State University '13, Sports Management",1.0,27.0
Michelle,Vittese,F,Field Hockey,Midfielder,2012,"5'3""",126,1989-12-06,Philadelphia,PA,Cherry Hill,NJ,Cherry Hill,PA,University of Virginia - History (2011 grad),1.0,27.0
Michael,DiSanto,M,Rowing,Men's Eight,none,"6'1""",200,1989-12-10,Boston,MA,Boston,MA,Boston,MA,"Harvard University '12, Psychology",0.0,27.0
Donn,Cabral,M,Track and Field,3000m Steeplechase,2012,"5'10""",148,1989-12-12,Glastonbury,CT,Glastonbury,CT,Annandale,NJ,Princeton '12,1.0,27.0
Jamie,Subandhi,F,Badminton,Mixed Doubles,none,"5'4""",128,1989-12-15,Long Beach,CA,Westminster,CA,Westminster,CA,"University of California - Los Angeles '11, Physiological Science",0.0,27.0
Steve,Johnson,M,Tennis,"Singles, Doubles",none,"6'2""",190,1989-12-24,Los Angeles,CA,Los Angeles,CA,New York,NY,USC,0.0,27.0
Martin,Iosefo,M,Rugby,Center,none,"6'2""",220,1990-01-13,Honolulu,HI,Wahiawa,HI,Wahiawa,HI,"University of Montana ’15, Psychology",0.0,26.0
Jeremy,Taiwo,M,Track and Field,Decathlon,none,"6'4""",200,1990-01-15,Seattle,WA,Renton,WA,Renton,WA,"University of Washinton '13, Latin American Studies",0.0,26.0
Caitlin,Van Sickle,F,Field Hockey,Defender,none,"5'5""",130,1990-01-26,Wilmington,DE,Wilmington,DE,Lancaster,PA,University of North Carolina - Communications (2012 grad),0.0,26.0
Annie,Haeger,F,Sailing,470 (Two-Person Dinghy),none,"5'6""",128,1990-02-05,Chicago,IL,East Troy,WI,Ft. Lauderdale,FL,"Boston College '12, Marketing",0.0,26.0
Dalilah,Muhammad,F,Track and Field,400m Hurdles,none,"5'8""",122,1990-02-07,Jamaica,NY,Jamaica,NY,Los Angeles,CA,USC '12,0.0,26.0
Klay,Thompson,M,Basketball,Guard,none,"6'7""",215,1990-02-08,Los Angeles,CA,Los Angeles,CA,Oakland,CA,Washington State University,0.0,26.0
Monica,Aksamit,F,Fencing,Saber,None,"6'0""",165,1990-02-18,Matawan,NJ,Matawan,NJ,Matawan,NJ,"Penn State University, Biology",0.0,26.0
Draymond,Green,M,Basketball,Forward,none,"6'7""",230,1990-03-04,Saginaw,MI,Saginaw,MI,Oakland,CA,Michigan State University,0.0,26.0
Stefanie,Fee,F,Field Hockey,Defender,none,"5'6""",140,1990-03-11,Virginia Beach,VA,Virginia Beach,VA,Mount Joy,PA,Duke University (2012 grad) - Psychology,0.0,26.0
Emily,Infeld,F,Track and Field,"10,000m",none,5'4,110,1990-03-21,University Heights,OH,Portland,OR,Portland,OR,Georgetown University,0.0,26.0
Danny,Barrett,M,Rugby,Prop,none,"6'2""",225,1990-03-23,Pacifica,CA,Pacifica,CA,Pacifica,CA,"University of California - Berkeley '13, American Studies",0.0,26.0
Sam,Ojserkis,M,Rowing,Men's Eight,none,"5'8""",122,1990-03-24,Pomona,NJ,Linwood,NJ,Linwood,NJ,"University of Washington '12, Geography",0.0,26.0
Mike,Hartfield,M,Track and Field,Long Jump,none,"6'3""",170,1990-03-29,Hartford,CT,Manchester,CT,Chula Vista,CA,"Ohio State University '13, Sociology and Criminal Justice",0.0,26.0
Chris,Benard,M,Track and Field,Triple Jump,none,"6'3""",185,1990-04-09,Tustin,CA,Corona,CA,Chula Vista,CA,"Arizona State University '12, Communication/Exercise and Wellness",0.0,26.0
Mariya,Koroleva,F,Synchro,Duet/Team,2012,"5'5""",123,1990-04-10,Yaroslavl,Russia,Concord,CA,Concord,CA,Stanford University - Communications (2013),1.0,26.0
Tony,McQuay,M,Track and Field,4x400m,2012-S,"5'11""",160,1990-04-16,West Palm Bach,FL,Clermont,FL,Clermont,FL,University of Florida '12,1.0,26.0
Kathleen,Sharkey,F,Field Hockey,Striker,none,"5'4""",128,1990-04-30,Wilkes-Barre,PA,Moosic,PA,Moosic,PA,Princeton University - Sociology (2013 grad),0.0,26.0
Paul,George,M,Basketball,Guard,none,"6'9""",220,1990-05-02,Palmdale,CA,Palmdale,CA,Indianapolis,IN,Fresno State University,0.0,26.0
Sattawat,Pongnairat,M,Badminton,Doubles,none,"5'11""",155,1990-05-08,New York,NY,Orange,CA,Orange,CA,"Taweethapisek High School (Bangkok, Thailand)",0.0,26.0
Rachael,Adams,F,Indoor Volleyball,Middle Blocker,none,"6'2""",178,1990-06-03,Cincinnati,OH,Cincinnati,OH,Cincinnati,OH,University of Texas - Advertising,0.0,26.0
Allison,Schmitt,F,Swimming,4x200m Free,"2008-B; 2012-3G,S,B","6'1""",165,1990-06-07,Pittsburgh,PA,Canton,MI,Paradise Valley,AZ,"University of Georgia ‘13, Psychology",2.0,26.0
Christian,Taylor,M,Track and Field,Triple Jump,2012-G,"6'2""",180,1990-06-18,Uniondale,NY,Fayetteville,GA,Gainesville,FL,University of Florida '12,1.0,26.0
Ben,Provisor,M,Wrestling,Greco-Roman 85 kg.,2012,"5'8""",195,1990-06-26,Stevens Point,WI,Colorado Springs,CO,Stevens Point,WI,Northern Michigan,1.0,26.0
Melissa,Seidemann,F,Water Polo,Defender,2012-G,"6'0""",230,1990-06-26,Hoffman Estates,IL,Walnut Creek,CA,Walnut Creek,CA,Stanford 2012,1.0,26.0
Taylor,Phinney,M,Cycling,"Road Race, Time Trial","2008-2-4th, 7th; 2012-4th","6'5""",180,1990-06-27,Boulder,CO,Boulder,CO,Boulder,CO,"Boulder High School (Boulder, Colo.) '07",2.0,26.0
KK,Clark,F,Water Polo,Defender,none,"6'2""",160,1990-06-28,Palo Alto,CA,Atherton,CA,Hermosa Beach,CA,UCLA 2012,0.0,26.0
Kayla,Harrison,F,Judo,78 kg.,2012-G,"5'8""",165,1990-07-02,Middletown,OH,Middletown,OH,Danvers,MA,Middleton Highschool,1.0,26.0
Mikaela,Mayer,F,Boxing,Lightweight - 60 kg.,none,"5'9""",132,1990-07-04,West Hills,CA,Los Angeles,CA,Colorado Springs,CO,"Northern Michigan University '19, Business Administration",0.0,26.0
Daryl,Homer,M,Fencing,Saber,2012,"5'8""",165,1990-07-16,"St. Thomas, Virgin Islands",Virgin Islands,Bronx,NY,New York,NY,"St. John's University '13, Advertising",1.0,26.0
Rob,Munn,M,Rowing,Men's Eight,none,"6'4""",215,1990-07-26,Bellevue,WA,Redmond,WA,Princeton,NJ,University of Washington,0.0,26.0
